experiment,agent_type,group_type,window,avg_opinion,polarization,negative_emotion,emotional_contagion,message_count,distortion_level
DeepSeek,ACTIVE,CAMPUS,before,0.098,0.496,0.469,0.024,25.0,0.07
DeepSeek,ACTIVE,CAMPUS,after,0.158,0.466,0.424,0.03,55.0,0.07
DeepSeek,ACTIVE,CLASS,before,0.078,0.496,0.469,0.024,25.0,0.07
DeepSeek,ACTIVE,CLASS,after,0.138,0.466,0.424,0.03,55.0,0.07
DeepSeek,ACTIVE,DORM,before,0.068,0.496,0.469,0.024,25.0,0.07
DeepSeek,ACTIVE,DORM,after,0.128,0.466,0.424,0.03,55.0,0.07
DeepSeek,ACTIVE,MAJOR,before,0.088,0.496,0.469,0.024,25.0,0.07
DeepSeek,ACTIVE,MAJOR,after,0.148,0.466,0.424,0.03,55.0,0.07
DeepSeek,CONTROLLER,CAMPUS,before,0.138,0.516,0.469,0.024,27.0,0.07
DeepSeek,CONTROLLER,CAMPUS,after,0.198,0.486,0.424,0.03,57.0,0.07
DeepSeek,CONTROLLER,CLASS,before,0.118,0.516,0.469,0.024,27.0,0.07
DeepSeek,CONTROLLER,CLASS,after,0.178,0.486,0.424,0.03,57.0,0.07
DeepSeek,CONTROLLER,DORM,before,0.108,0.516,0.469,0.024,27.0,0.07
DeepSeek,CONTROLLER,DORM,after,0.168,0.486,0.424,0.03,57.0,0.07
DeepSeek,CONTROLLER,MAJOR,before,0.128,0.516,0.469,0.024,27.0,0.07
DeepSeek,CONTROLLER,MAJOR,after,0.188,0.486,0.424,0.03,57.0,0.07
DeepSeek,ORDINARY,CAMPUS,before,0.078,0.486,0.469,0.024,24.0,0.07
DeepSeek,ORDINARY,CAMPUS,after,0.138,0.456,0.424,0.03,54.0,0.07
DeepSeek,ORDINARY,CLASS,before,0.058,0.486,0.469,0.024,24.0,0.07
DeepSeek,ORDINARY,CLASS,after,0.118,0.456,0.424,0.03,54.0,0.07
DeepSeek,ORDINARY,DORM,before,0.048,0.486,0.469,0.024,24.0,0.07
DeepSeek,ORDINARY,DORM,after,0.108,0.456,0.424,0.03,54.0,0.07
