experiment,agent_type,group_type,avg_opinion_mean,avg_opinion_std,polarization_mean,polarization_std,negative_emotion_mean,negative_emotion_std,emotional_contagion_mean,emotional_contagion_std,message_count_mean,message_count_std,distortion_level_mean,distortion_level_std
DeepSeek,ACTIVE,CAMPUS,0.128,0.035214,0.481,0.017607,0.4465,0.02641,0.027,0.004661,40.0,17.606817,0.07,0.0
DeepSeek,ACTIVE,CLASS,0.108,0.035214,0.481,0.017607,0.4465,0.02641,0.027,0.004661,40.0,17.606817,0.07,0.0
DeepSeek,ACTIVE,DORM,0.098,0.035214,0.481,0.017607,0.4465,0.02641,0.027,0.004661,40.0,17.606817,0.07,0.0
DeepSeek,ACTIVE,MAJOR,0.118,0.035214,0.481,0.017607,0.4465,0.02641,0.027,0.004661,40.0,17.606817,0.07,0.0
DeepSeek,CONTROLLER,CAMPUS,0.168,0.035214,0.501,0.017607,0.4465,0.02641,0.027,0.004661,42.0,17.606817,0.07,0.0
DeepSeek,CONTROLLER,CLASS,0.148,0.035214,0.501,0.017607,0.4465,0.02641,0.027,0.004661,42.0,17.606817,0.07,0.0
DeepSeek,CONTROLLER,DORM,0.138,0.035214,0.501,0.017607,0.4465,0.02641,0.027,0.004661,42.0,17.606817,0.07,0.0
DeepSeek,CONTROLLER,MAJOR,0.158,0.035214,0.501,0.017607,0.4465,0.02641,0.027,0.004661,42.0,17.606817,0.07,0.0
DeepSeek,ORDINARY,CAMPUS,0.108,0.035214,0.471,0.017607,0.4465,0.02641,0.027,0.004661,39.0,17.606817,0.07,0.0
DeepSeek,ORDINARY,CLASS,0.088,0.035214,0.471,0.017607,0.4465,0.02641,0.027,0.004661,39.0,17.606817,0.07,0.0
DeepSeek,ORDINARY,DORM,0.078,0.035214,0.471,0.017607,0.4465,0.02641,0.027,0.004661,39.0,17.606817,0.07,0.0
DeepSeek,ORDINARY,MAJOR,0.098,0.035214,0.471,0.017607,0.4465,0.02641,0.027,0.004661,39.0,17.606817,0.07,0.0
DeepSeek,RATIONAL,CAMPUS,0.148,0.035214,0.491,0.017607,0.4465,0.02641,0.027,0.004661,41.0,17.606817,0.07,0.0
DeepSeek,RATIONAL,CLASS,0.128,0.035214,0.491,0.017607,0.4465,0.02641,0.027,0.004661,41.0,17.606817,0.07,0.0
DeepSeek,RATIONAL,DORM,0.118,0.035214,0.491,0.017607,0.4465,0.02641,0.027,0.004661,41.0,17.606817,0.07,0.0
DeepSeek,RATIONAL,MAJOR,0.138,0.035214,0.491,0.017607,0.4465,0.02641,0.027,0.004661,41.0,17.606817,0.07,0.0
Mock,ACTIVE,CAMPUS,0.008,0.035214,0.481,0.017607,0.4065,0.02641,0.02,0.0,40.0,17.606817,0.05,0.0
Mock,ACTIVE,CLASS,-0.012,0.035214,0.481,0.017607,0.4065,0.02641,0.02,0.0,40.0,17.606817,0.05,0.0
Mock,ACTIVE,DORM,-0.022,0.035214,0.481,0.017607,0.4065,0.02641,0.02,0.0,40.0,17.606817,0.05,0.0
Mock,ACTIVE,MAJOR,-0.002,0.035214,0.481,0.017607,0.4065,0.02641,0.02,0.0,40.0,17.606817,0.05,0.0
Mock,CONTROLLER,CAMPUS,0.048,0.035214,0.501,0.017607,0.4065,0.02641,0.02,0.0,42.0,17.606817,0.05,0.0
Mock,CONTROLLER,CLASS,0.028,0.035214,0.501,0.017607,0.4065,0.02641,0.02,0.0,42.0,17.606817,0.05,0.0
Mock,CONTROLLER,DORM,0.018,0.035214,0.501,0.017607,0.4065,0.02641,0.02,0.0,42.0,17.606817,0.05,0.0
Mock,CONTROLLER,MAJOR,0.038,0.035214,0.501,0.017607,0.4065,0.02641,0.02,0.0,42.0,17.606817,0.05,0.0
Mock,ORDINARY,CAMPUS,-0.012,0.035214,0.471,0.017607,0.4065,0.02641,0.02,0.0,39.0,17.606817,0.05,0.0
Mock,ORDINARY,CLASS,-0.032,0.035214,0.471,0.017607,0.4065,0.02641,0.02,0.0,39.0,17.606817,0.05,0.0
Mock,ORDINARY,DORM,-0.042,0.035214,0.471,0.017607,0.4065,0.02641,0.02,0.0,39.0,17.606817,0.05,0.0
Mock,ORDINARY,MAJOR,-0.022,0.035214,0.471,0.017607,0.4065,0.02641,0.02,0.0,39.0,17.606817,0.05,0.0
Mock,RATIONAL,CAMPUS,0.028,0.035214,0.491,0.017607,0.4065,0.02641,0.02,0.0,41.0,17.606817,0.05,0.0
Mock,RATIONAL,CLASS,0.008,0.035214,0.491,0.017607,0.4065,0.02641,0.02,0.0,41.0,17.606817,0.05,0.0
Mock,RATIONAL,DORM,-0.002,0.035214,0.491,0.017607,0.4065,0.02641,0.02,0.0,41.0,17.606817,0.05,0.0
Mock,RATIONAL,MAJOR,0.018,0.035214,0.491,0.017607,0.4065,0.02641,0.02,0.0,41.0,17.606817,0.05,0.0
