tick,avg_opinion,polarization,emotional_contagion,message_count,negative_emotion,distortion_level,cross_group_forward,intervention_tick,recovery_time,step_seconds
0,0.02367130461087439,0.6391884967814135,0.0,4,0.49,0.0125,2,0.0,0.0,33.551563099958
1,-0.01760540909910434,0.7424559457255961,0.022351138804564144,19,0.49,0.005263157894736842,3,0.0,0.0,85.73325040005147
2,-0.016450838187126903,0.7986136543364365,0.03068699714497102,33,0.51,0.0075000000000000015,4,0.0,0.0,95.5161118004471
3,-0.013073204698834294,0.8527686637551145,0.035792875826331894,45,0.55,0.01,6,0.0,0.0,92.37129539996386
4,-0.016931777852126264,0.8742094855826525,0.03532033058487364,56,0.62,0.005,7,0.0,0.0,86.86466510035098
5,-0.01829212629155137,0.9091554026462894,0.033281211674436324,65,0.66,0.005,12,0.0,0.0,86.32119559962302
6,-0.02459963181695958,0.9211132323665507,0.028432039325729103,75,0.7,0.0075000000000000015,14,0.0,0.0,83.07703320030123
7,-0.030323012935409777,0.922926677952349,0.02701355059973627,87,0.76,0.0075000000000000015,16,0.0,0.0,83.91430089995265
8,-0.043120659353570234,0.9219289622767242,0.025592221149831142,100,0.81,0.04,16,0.0,0.0,86.09509340021759
9,-0.04030729940627034,0.9260881664666099,0.021127398526453546,113,0.85,0.0475,17,0.0,0.0,88.23906739987433
10,-0.041854581920225654,0.9327610856295248,0.02047360306503743,125,0.86,0.11499999999999999,19,0.0,0.0,88.74995240010321
11,-0.04477043649102342,0.9364512344111268,0.02102571581144078,138,0.86,0.10749999999999997,23,0.0,0.0,87.06709269993007
12,-0.05800582489026066,0.9416356061818181,0.02166065402055988,134,0.89,0.045,24,0.0,0.0,88.44792199973017
13,-0.06438681082548814,0.9388746180372372,0.018876722155601367,129,0.9,0.08,24,0.0,0.0,90.1238107001409
14,-0.05488681082548816,0.9525036976549045,0.017746084076197967,123,0.9,0.075,25,0.0,0.0,84.16821259912103
15,-0.05536951261084143,0.9573845943185265,0.0161584114649571,120,0.89,0.0375,26,0.0,0.0,86.10160449985415
16,-0.06002200305282121,0.9578340856887549,0.01953480391108448,120,0.88,0.0375,27,0.0,0.0,87.81092949956656
17,-0.05902200305282121,0.9589656822396301,0.02024406682182565,123,0.9,0.0375,29,0.0,0.0,85.30760559998453
18,-0.05180906954790042,0.9632499373050175,0.017948974777632448,115,0.86,0.0725,29,0.0,0.0,82.00315449945629
19,-0.052809069547900434,0.9618196615308225,0.017173602803182714,111,0.87,0.0725,29,0.0,0.0,83.34666940011084
