tick,avg_opinion,polarization,emotional_contagion,message_count,negative_emotion,distortion_level,cross_group_forward,intervention_tick,recovery_time,step_seconds
0,776,20944,0,4,0.49,0.0125,2,0.0,0.0,33.551563099958
1,-577,24328,732,19,0.49,0.005263157894736842,3,0.0,0.0,85.73325040005147
2,-539,26168,1006,33,0.51,0.0075000000000000015,4,0.0,0.0,95.5161118004471
3,-428,27943,1173,45,0.55,0.01,6,0.0,0.0,92.37129539996386
4,-555,28645,1157,56,0.62,0.005,7,0.0,0.0,86.86466510035098
5,-599,29790,1091,65,0.66,0.005,12,0.0,0.0,86.32119559962302
6,-806,30182,932,75,0.7,0.0075000000000000015,14,0.0,0.0,83.07703320030123
7,-994,30242,885,87,0.76,0.0075000000000000015,16,0.0,0.0,83.91430089995265
8,-1413,30209,839,100,0.81,0.04,16,0.0,0.0,86.09509340021759
9,-1321,30345,692,113,0.85,0.0475,17,0.0,0.0,88.23906739987433
10,-1371,30564,671,125,0.86,0.11499999999999999,19,0.0,0.0,88.74995240010321
11,-1467,30685,689,138,0.86,0.10749999999999997,23,0.0,0.0,87.06709269993007
12,-1901,30855,710,134,0.89,0.045,24,0.0,0.0,88.44792199973017
13,-2110,30764,619,129,0.9,0.08,24,0.0,0.0,90.1238107001409
14,-1798,31211,581,123,0.9,0.075,25,0.0,0.0,84.16821259912103
15,-1814,31371,529,120,0.89,0.0375,26,0.0,0.0,86.10160449985415
16,-1967,31385,640,120,0.88,0.0375,27,0.0,0.0,87.81092949956656
17,-1934,31422,663,123,0.9,0.0375,29,0.0,0.0,85.30760559998453
18,-1698,31563,588,115,0.86,0.0725,29,0.0,0.0,82.00315449945629
19,-1730,31516,563,111,0.87,0.0725,29,0.0,0.0,83.34666940011084
