tick,avg_opinion,polarization,emotional_contagion,message_count,negative_emotion,distortion_level,cross_group_forward,intervention_tick,recovery_time,step_seconds
0,0.043059347206644,0.6014783254957148,0.0,4,0.49,0.0125,2,0.0,0.0,0.004783600568771362
1,0.043059347206644,0.6014783254957148,0.009046820897698404,19,0.49,0.005263157894736842,3,0.0,0.0,0.010871900245547295
2,0.043059347206644,0.6014783254957148,0.009346976934799342,35,0.49,0.0075000000000000015,4,0.0,0.0,0.012587900273501873
3,0.043059347206644,0.6014783254957148,0.007899222065405158,48,0.49,0.01,6,0.0,0.0,0.014169100672006607
4,0.043059347206644,0.6014783254957148,0.00785889364497116,61,0.49,0.005,7,0.0,0.0,0.016134800389409065
5,0.043059347206644,0.6014783254957148,0.008390778282132711,75,0.49,0.005,12,0.0,0.0,0.018580700270831585
6,0.043059347206644,0.6014783254957148,0.005699835927097824,83,0.49,0.0025,14,0.0,0.0,0.016905000433325768
7,0.043059347206644,0.6014783254957148,0.00819434769105687,96,0.49,0.005,16,0.0,0.0,0.017056100070476532
8,0.043059347206644,0.6014783254957148,0.010483894805875275,114,0.49,0.005,16,0.0,0.0,0.018535000272095203
9,0.043059347206644,0.6014783254957148,0.007716603163013951,126,0.51,0.005,17,0.0,0.0,0.01631079986691475
10,0.043059347206644,0.6014783254957148,0.009596408138924178,142,0.52,0.0075000000000000015,19,0.0,0.0,0.018616199493408203
11,0.043059347206644,0.6014783254957148,0.011283409751008704,157,0.55,0.0025,23,0.0,0.0,0.016254400834441185
12,0.043059347206644,0.6014783254957148,0.009961541697671005,158,0.55,0.0075000000000000015,24,0.0,0.0,0.01839470025151968
13,0.043059347206644,0.6014783254957148,0.009052045456233438,156,0.55,0.0025,24,0.0,0.0,0.017326499335467815
14,0.043059347206644,0.6014783254957148,0.00946977524870673,157,0.56,0.0025,25,0.0,0.0,0.01661080028861761
15,0.043059347206644,0.6014783254957148,0.00784007944099199,155,0.56,0.005,26,0.0,0.0,0.017508599907159805
16,0.043059347206644,0.6014783254957148,0.009603050004929923,155,0.57,0.0,27,0.0,0.0,0.0157435005530715
17,0.043059347206644,0.6014783254957148,0.010251238670855367,162,0.57,0.0,29,0.0,0.0,0.016244799830019474
18,0.043059347206644,0.6014783254957148,0.007055154426879138,157,0.57,0.0,29,0.0,0.0,0.017593400552868843
19,0.043059347206644,0.6014783254957148,0.008922783374468326,151,0.58,0.0025,29,0.0,0.0,0.017870400100946426
20,0.043059347206644,0.6014783254957148,0.009535742922919642,152,0.59,0.005,32,0.0,0.0,0.018547600135207176
21,0.043059347206644,0.6014783254957148,0.007313230629460596,144,0.59,0.0025,33,0.0,0.0,0.01792010013014078
22,0.043059347206644,0.6014783254957148,0.008649458208292028,136,0.59,0.01,33,0.0,0.0,0.01738090068101883
23,0.043059347206644,0.6014783254957148,0.0068739314230002735,127,0.59,0.01,35,0.0,0.0,0.018353300169110298
24,0.043059347206644,0.6014783254957148,0.009457440490082616,126,0.59,0.0025,36,0.0,0.0,0.017941799946129322
25,0.043059347206644,0.6014783254957148,0.012876288676667864,132,0.59,0.005,39,0.0,0.0,0.018327999860048294
26,0.043059347206644,0.6014783254957148,0.008659064887534661,131,0.59,0.005,42,0.0,0.0,0.016761300154030323
27,0.043059347206644,0.6014783254957148,0.009564498579413576,130,0.59,0.01,44,0.0,0.0,0.016177400015294552
28,0.043059347206644,0.6014783254957148,0.011407712006778148,131,0.59,0.005,46,0.0,0.0,0.018475599586963654
29,0.043059347206644,0.6014783254957148,0.010299789508060824,136,0.59,0.005,49,0.0,0.0,0.01602760050445795
30,0.043059347206644,0.6014783254957148,0.009819224306816728,136,0.59,0.0025,50,0.0,0.0,0.018050599843263626
31,0.043059347206644,0.6014783254957148,0.011611245679963099,139,0.59,0.0025,54,0.0,0.0,0.01616930030286312
32,0.043059347206644,0.6014783254957148,0.009680138863035825,142,0.59,0.005,56,0.0,0.0,0.016547000035643578
33,0.043059347206644,0.6014783254957148,0.00902330747248258,140,0.59,0.01,59,0.0,0.0,0.01642419956624508
34,0.043059347206644,0.6014783254957148,0.008621167552483206,142,0.59,0.0075000000000000015,61,0.0,0.0,0.014991999603807926
35,0.043059347206644,0.6014783254957148,0.0077022441362969265,135,0.59,0.0075000000000000015,64,0.0,0.0,0.01695340033620596
36,0.043059347206644,0.6014783254957148,0.009756941618015711,126,0.59,0.005,66,0.0,0.0,0.018193800002336502
37,0.043059347206644,0.6014783254957148,0.008553423901840294,125,0.59,0.005,67,0.0,0.0,0.016977200284600258
38,0.043059347206644,0.6014783254957148,0.009392720392357024,122,0.59,0.005,69,0.0,0.0,0.017019100487232208
39,0.043059347206644,0.6014783254957148,0.01113644453259976,120,0.59,0.005,71,0.0,0.0,0.016857299953699112
40,0.043059347206644,0.6014783254957148,0.010759058855558768,120,0.59,0.0075000000000000015,72,0.0,0.0,0.017294100485742092
