tick,avg_opinion,polarization,emotional_contagion,message_count,negative_emotion,distortion_level,cross_group_forward,intervention_tick,recovery_time,step_seconds
0,1411,19709,0,4,0.49,0.0125,2,0.0,0.0,0.004783600568771362
1,1411,19709,296,19,0.49,0.005263157894736842,3,0.0,0.0,0.010871900245547295
2,1411,19709,306,35,0.49,0.0075000000000000015,4,0.0,0.0,0.012587900273501873
3,1411,19709,259,48,0.49,0.01,6,0.0,0.0,0.014169100672006607
4,1411,19709,258,61,0.49,0.005,7,0.0,0.0,0.016134800389409065
5,1411,19709,275,75,0.49,0.005,12,0.0,0.0,0.018580700270831585
6,1411,19709,187,83,0.49,0.0025,14,0.0,0.0,0.016905000433325768
7,1411,19709,269,96,0.49,0.005,16,0.0,0.0,0.017056100070476532
8,1411,19709,344,114,0.49,0.005,16,0.0,0.0,0.018535000272095203
9,1411,19709,253,126,0.51,0.005,17,0.0,0.0,0.01631079986691475
10,1411,19709,314,142,0.52,0.0075000000000000015,19,0.0,0.0,0.018616199493408203
11,1411,19709,370,157,0.55,0.0025,23,0.0,0.0,0.016254400834441185
12,1411,19709,326,158,0.55,0.0075000000000000015,24,0.0,0.0,0.01839470025151968
13,1411,19709,297,156,0.55,0.0025,24,0.0,0.0,0.017326499335467815
14,1411,19709,310,157,0.56,0.0025,25,0.0,0.0,0.01661080028861761
15,1411,19709,257,155,0.56,0.005,26,0.0,0.0,0.017508599907159805
16,1411,19709,315,155,0.57,0.0,27,0.0,0.0,0.0157435005530715
17,1411,19709,336,162,0.57,0.0,29,0.0,0.0,0.016244799830019474
18,1411,19709,231,157,0.57,0.0,29,0.0,0.0,0.017593400552868843
19,1411,19709,292,151,0.58,0.0025,29,0.0,0.0,0.017870400100946426
20,1411,19709,312,152,0.59,0.005,32,0.0,0.0,0.018547600135207176
21,1411,19709,240,144,0.59,0.0025,33,0.0,0.0,0.01792010013014078
22,1411,19709,283,136,0.59,0.01,33,0.0,0.0,0.01738090068101883
23,1411,19709,225,127,0.59,0.01,35,0.0,0.0,0.018353300169110298
24,1411,19709,310,126,0.59,0.0025,36,0.0,0.0,0.017941799946129322
25,1411,19709,422,132,0.59,0.005,39,0.0,0.0,0.018327999860048294
26,1411,19709,284,131,0.59,0.005,42,0.0,0.0,0.016761300154030323
27,1411,19709,313,130,0.59,0.01,44,0.0,0.0,0.016177400015294552
28,1411,19709,374,131,0.59,0.005,46,0.0,0.0,0.018475599586963654
29,1411,19709,337,136,0.59,0.005,49,0.0,0.0,0.01602760050445795
30,1411,19709,322,136,0.59,0.0025,50,0.0,0.0,0.018050599843263626
31,1411,19709,380,139,0.59,0.0025,54,0.0,0.0,0.01616930030286312
32,1411,19709,317,142,0.59,0.005,56,0.0,0.0,0.016547000035643578
33,1411,19709,296,140,0.59,0.01,59,0.0,0.0,0.01642419956624508
34,1411,19709,282,142,0.59,0.0075000000000000015,61,0.0,0.0,0.014991999603807926
35,1411,19709,252,135,0.59,0.0075000000000000015,64,0.0,0.0,0.01695340033620596
36,1411,19709,320,126,0.59,0.005,66,0.0,0.0,0.018193800002336502
37,1411,19709,280,125,0.59,0.005,67,0.0,0.0,0.016977200284600258
38,1411,19709,308,122,0.59,0.005,69,0.0,0.0,0.017019100487232208
39,1411,19709,365,120,0.59,0.005,71,0.0,0.0,0.016857299953699112
40,1411,19709,353,120,0.59,0.0075000000000000015,72,0.0,0.0,0.017294100485742092
41,1411,19709,268,115,0.59,0.01,75,0.0,0.0,0.015952699817717075
42,1411,19709,316,109,0.59,0.01,77,0.0,0.0,0.016991899348795414
43,1411,19709,347,111,0.59,0.005,79,0.0,0.0,0.01665360014885664
44,1411,19709,258,108,0.59,0.0025,83,0.0,0.0,0.016839600168168545
45,1411,19709,292,108,0.59,0.0025,84,0.0,0.0,0.017496700398623943
46,1411,19709,256,108,0.59,0.0025,85,0.0,0.0,0.017326900735497475
47,1411,19709,338,108,0.59,0.0025,87,0.0,0.0,0.014605499804019928
48,1411,19709,324,110,0.59,0.0075000000000000015,89,0.0,0.0,0.017443899996578693
49,1411,19709,285,109,0.59,0.005,94,0.0,0.0,0.015343999490141869
